//SoMachine Online Variables Export V1.0
//Important: Please do not remove or change Application CodeId and DataId Guids from this file. If you modify this file make sure it respects the syntax variable name and value separated by a semicolon
//ApplicationDataIdGuid;46d22f1b-0000-0000-0000-000000000000
//ApplicationCodeIdGuid;bb45e593-0000-0000-0000-000000000000

//Variable;//Online Value;

GVL_RETAIN.TmpGrafN3;47;
GVL_RETAIN.TmpGrafN7;51;
GVL_RETAIN.TmpGrafP0;44;
GVL_RETAIN.TmpgrafP10;40;
GVL_RETAIN.TmpGrafP2;42;
GVL_RETAIN.TmpGrafP5;40;
GVL_RETAIN.TnVlv;11;
GVL_RETAIN.TvVlv;1;
GVL_RETAIN.UseM1;TRUE;
GVL_RETAIN.UseM2;FALSE;
GVL_RETAIN.UseM3;TRUE;
GVL_RETAIN.UseM4;FALSE;
GVL_RETAIN.UseM5;FALSE;
GVL_RETAIN.UseM6;FALSE;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[0].wParameterBitOffset;0;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[0].wIecAddressBitOffset;0;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[0].wSize;1;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[0].wDummy;259;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[0].dwDriverSpecific;0;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[1].wParameterBitOffset;4;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[1].wIecAddressBitOffset;4;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[1].wSize;1;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[1].wDummy;259;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[1].dwDriverSpecific;0;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[2].wParameterBitOffset;3;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[2].wIecAddressBitOffset;3;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[2].wSize;1;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[2].wDummy;259;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[2].dwDriverSpecific;0;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[3].wParameterBitOffset;1;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[3].wIecAddressBitOffset;1;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[3].wSize;1;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[3].wDummy;259;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[3].dwDriverSpecific;0;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[4].wParameterBitOffset;2;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[4].wIecAddressBitOffset;2;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[4].wSize;1;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[4].wDummy;259;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[4].dwDriverSpecific;0;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[5].wParameterBitOffset;5;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[5].wIecAddressBitOffset;5;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[5].wSize;1;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[5].wDummy;259;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[5].dwDriverSpecific;0;
IoConfig_Application_Mappings.channelmap_Application_0_inputs_12[6].wParameterBitOffset;0;
